Index,Plate Appearance (season),Date,Hands on Swing,Handedness,Outcome,EV,LA,Air/Ground,Outcome Direction,Pitch Location,Pitch Velo,2 strikes,,,
337,166,7/5/23,1,L,Foul,81.1,-11,,,10,95,n,,,
338,166,7/5/23,1,L,Foul,,,,,10,94,y,,,
339,167,7/5/23,1,L,Foul,75.5,34,,,9,97,n,,,
340,167,7/5/23,2,L,Miss,,,,,5,85,n,,,
341,167,7/5/23,1,L,Foul,75.8,-12,,,8,86,y,,,
342,167,7/5/23,Check,L,K,,,,,14,86,y,,,
343,168,7/5/23,Check,R,Miss,,,,,13,91,n,,,
344,168,7/5/23,2,R,Miss,,,,,5,99,n,,,
345,168,7/5/23,1,R,Foul,72.8,55,,,5,100,y,,,
346,169,7/6/23,1,L,Miss,,,,,12,89,n,,,
347,170,7/6/23,1,L,3-Jan,57.8,-45,G,1,8,87,n,,,
348,171,7/6/23,2,L,Foul,70,39,,,2,93,n,,,
349,172,7/6/23,1,L,Foul,83.9,67,,,11,92,n,,,
350,173,7/7/23,2,L,Foul,,,,,11,94,y,,,
351,173,7/7/23,2,L,Single,80.1,15,,7,3,96,y,,,
352,174,7/7/23,2,L,F8,96.6,20,A,8,7,86,n,,,
353,175,7/7/23,2,L,Miss,,,,,11,95,n,,,
354,176,7/7/23,1,L,F9,82.9,35,A,9,10,99,n,,,
355,177,7/8/23,1,L,3-May,70,-48,G,5,9,93,y,,,
356,178,7/8/23,2,L,Miss,,,,,2,97,n,,,
357,179,7/8/23,-1,R,Foul,,,,,12,86,n,,,
358,179,7/8/23,1,R,Foul,77,41,,,11,93,y,,,
359,179,7/8/23,2,R,Foul,71.7,62,,,7,87,y,,,
360,179,7/8/23,2,R,Foul,80.9,65,,,1,94,y,,,
361,180,7/14/23,1,L,1-Mar,87.8,-12,G,3,2,89,y,,,
362,181,7/14/23,2,L,F7,89.2,37,A,7,2,95,n,,,
363,182,7/14/23,2,L,F8,89.6,23,A,8,5,90,n,,,
364,183,7/16/23,2,L,Foul,83,63,,,12,93,n,,,
